id_waktu,tanggal,minggu,bulan,tahun
20190711,2019-07-11,28,7,2019
20190811,2019-08-11,32,8,2019
20191111,2019-11-11,46,11,2019
20191211,2019-12-11,50,12,2019
20191113,2019-11-13,46,11,2019
20191114,2019-11-14,46,11,2019
20191115,2019-11-15,46,11,2019
20191118,2019-11-18,47,11,2019
20191119,2019-11-19,47,11,2019
20191120,2019-11-20,47,11,2019
20191121,2019-11-21,47,11,2019
20191122,2019-11-22,47,11,2019
20191125,2019-11-25,48,11,2019
20191126,2019-11-26,48,11,2019
20191127,2019-11-27,48,11,2019
20191128,2019-11-28,48,11,2019
20191129,2019-11-29,48,11,2019
20190212,2019-02-12,7,2,2019
20190312,2019-03-12,11,3,2019
20190412,2019-04-12,15,4,2019
20190512,2019-05-12,19,5,2019
20190612,2019-06-12,24,6,2019
20190912,2019-09-12,37,9,2019
20191012,2019-10-12,41,10,2019
20191112,2019-11-12,46,11,2019
20191212,2019-12-12,50,12,2019
20191213,2019-12-13,50,12,2019
20191216,2019-12-16,51,12,2019
20191217,2019-12-17,51,12,2019
20191218,2019-12-18,51,12,2019
20191219,2019-12-19,51,12,2019
20191220,2019-12-20,51,12,2019
20191223,2019-12-23,52,12,2019
20191226,2019-12-26,52,12,2019
20191227,2019-12-27,52,12,2019
20191230,2019-12-30,1,12,2019
20200201,2020-02-01,5,2,2020
20200301,2020-03-01,9,3,2020
20200601,2020-06-01,23,6,2020
20200701,2020-07-01,27,7,2020
20200801,2020-08-01,31,8,2020
20200901,2020-09-01,36,9,2020
20201001,2020-10-01,40,10,2020
20200113,2020-01-13,3,1,2020
20200114,2020-01-14,3,1,2020
20200115,2020-01-15,3,1,2020
20200116,2020-01-16,3,1,2020
20200117,2020-01-17,3,1,2020
20200120,2020-01-20,4,1,2020
20200121,2020-01-21,4,1,2020
20200122,2020-01-22,4,1,2020
20200123,2020-01-23,4,1,2020
20200124,2020-01-24,4,1,2020
20200127,2020-01-27,5,1,2020
20200128,2020-01-28,5,1,2020
20200129,2020-01-29,5,1,2020
20200130,2020-01-30,5,1,2020
20200131,2020-01-31,5,1,2020
20200302,2020-03-02,10,3,2020
20200402,2020-04-02,14,4,2020
20200502,2020-05-02,18,5,2020
20200602,2020-06-02,23,6,2020
20200702,2020-07-02,27,7,2020
20201002,2020-10-02,40,10,2020
20201102,2020-11-02,45,11,2020
20201202,2020-12-02,49,12,2020
20200213,2020-02-13,7,2,2020
20200214,2020-02-14,7,2,2020
20200217,2020-02-17,8,2,2020
20200218,2020-02-18,8,2,2020
20200219,2020-02-19,8,2,2020
20200220,2020-02-20,8,2,2020
20200221,2020-02-21,8,2,2020
20200224,2020-02-24,9,2,2020
20200225,2020-02-25,9,2,2020
20200226,2020-02-26,9,2,2020
20200227,2020-02-27,9,2,2020
20200228,2020-02-28,9,2,2020
20200203,2020-02-03,6,2,2020
20200303,2020-03-03,10,3,2020
20200403,2020-04-03,14,4,2020
20200503,2020-05-03,18,5,2020
20200603,2020-06-03,23,6,2020
20200903,2020-09-03,36,9,2020
20201003,2020-10-03,40,10,2020
20201103,2020-11-03,45,11,2020
20201203,2020-12-03,49,12,2020
20200313,2020-03-13,11,3,2020
20200316,2020-03-16,12,3,2020
20200317,2020-03-17,12,3,2020
20200318,2020-03-18,12,3,2020
20200319,2020-03-19,12,3,2020
20200320,2020-03-20,12,3,2020
20200323,2020-03-23,13,3,2020
20200324,2020-03-24,13,3,2020
20200326,2020-03-26,13,3,2020
20200327,2020-03-27,13,3,2020
20200330,2020-03-30,14,3,2020
20200331,2020-03-31,14,3,2020
20200104,2020-01-04,1,1,2020
20200204,2020-02-04,6,2,2020
20200304,2020-03-04,10,3,2020
20200604,2020-06-04,23,6,2020
20200704,2020-07-04,27,7,2020
20200804,2020-08-04,32,8,2020
20200904,2020-09-04,36,9,2020
20200413,2020-04-13,16,4,2020
20200414,2020-04-14,16,4,2020
20200415,2020-04-15,16,4,2020
20200416,2020-04-16,16,4,2020
20200417,2020-04-17,16,4,2020
20200420,2020-04-20,17,4,2020
20200421,2020-04-21,17,4,2020
20200422,2020-04-22,17,4,2020
20200423,2020-04-23,17,4,2020
20200424,2020-04-24,17,4,2020
20200427,2020-04-27,18,4,2020
20200428,2020-04-28,18,4,2020
20200429,2020-04-29,18,4,2020
20200430,2020-04-30,18,4,2020
20200405,2020-04-05,14,4,2020
20200505,2020-05-05,19,5,2020
20200605,2020-06-05,23,6,2020
20200805,2020-08-05,32,8,2020
20201105,2020-11-05,45,11,2020
